blockNumber,hour,day_of_week,transactionsCount,gasUsed,tokenTransfersCount,totalTokenAmount,uniqueSenders,uniqueReceivers,label
23096789,13,4,261,19776552,0,0,0,0,0
23096789,13,4,261,19776552,0,0,0,0,0
23096790,13,4,231,18625548,0,0,0,0,0
23096790,13,4,231,18625548,0,0,0,0,0
23096827,14,4,309,24915385,0,0,0,0,0
23096827,14,4,309,24915385,0,0,0,0,0
23096852,14,4,292,18518547,0,0,0,0,0
23096852,14,4,292,18518547,0,0,0,0,0
23096853,14,4,240,21224874,0,0,0,0,0
23096853,14,4,240,21224874,0,0,0,0,0
23096854,14,4,234,19675855,0,0,0,0,0
23096854,14,4,234,19675855,0,0,0,0,0
23096855,14,4,274,21592750,0,0,0,0,0
23096855,14,4,274,21592750,0,0,0,0,0
23096856,14,4,170,14924917,0,0,0,0,0
23096856,14,4,170,14924917,0,0,0,0,0
23096857,14,4,281,20163073,0,0,0,0,0
23096857,14,4,281,20163073,0,0,0,0,0
23096858,14,4,216,21635187,0,0,0,0,0
23096858,14,4,216,21635187,0,0,0,0,0
23096859,14,4,121,6951039,0,0,0,0,0
23096859,14,4,121,6951039,0,0,0,0,0
23096860,14,4,453,34180938,0,0,0,0,0
23096860,14,4,453,34180938,0,0,0,0,0
23096861,14,4,93,11213172,0,0,0,0,0
23096861,14,4,93,11213172,0,0,0,0,0
